IMDB_rating,IMDB_title,IMDB_titleID,IMDB_title_name
6.4 based on 702 user ratings,W. Kamau Bell: Private School Negro,/title/tt8467788/, W. Kamau Bell: Private School Negro (2018) (TV Special) 
4.8 based on 234 user ratings,Mike Epps: Only One Mike,/title/tt10376958/, Mike Epps: Only One Mike (2019) (TV Special) 
6.7 based on 723 user ratings,Rory Scovel Tries Stand-Up for the First Time,/title/tt7044010/, Rory Scovel Tries Stand-Up for the First Time (2017) (TV Special) 
5.7 based on 820 user ratings,Adam Devine: Best Time of Our Lives,/title/tt10376844/, Adam Devine: Best Time of Our Lives (2019) (TV Special) 
"7.8 based on 2,507 user ratings","Oh, Hello On Broadway",/title/tt6987652/," Oh, Hello on Broadway (2017) (TV Movie) "
7.3 based on 707 user ratings,Jo Koy: Comin' In Hot,/title/tt10377036/, Jo Koy: Comin' in Hot (2019) (TV Special) 
"7.5 based on 4,228 user ratings",Aziz Ansari: RIGHT NOW,/title/tt10575038/, Aziz Ansari: Right Now (2019) (TV Special) 
6.6 based on 77 user ratings,Sommore: Chandelier Status,/title/tt3012832/, Sommore: Chandelier Status (2013) (TV Special) 
6.6 based on 184 user ratings,Felipe Esparza: They're Not Going to Laugh at You,/title/tt2153394/, Felipe Esparza: They're Not Gonna Laugh At You (2012) (TV Special) 
6.5 based on 364 user ratings,Joan Rivers: Don't Start with Me,/title/tt2519318/, Joan Rivers: Don't Start with Me (2012) (TV Special) 
5.5 based on 566 user ratings,Katt Williams: Kattpacalypse,/title/tt2370686/, Katt Williams: Kattpacalypse (2012) (TV Special) 
6.1 based on 421 user ratings,Joe Mande’s Award-Winning Comedy Special,/title/tt7183876/, Joe Mande's Award-Winning Comedy Special (2017) (TV Special) 
"7.2 based on 3,232 user ratings",Iliza Shlesinger: Elder Millennial,/title/tt8697266/," Iliza: Elder Millennial (2018) (TV Special) aka ""Iliza Shlesinger: Elder Millennial"" "
6.5 based on 524 user ratings,D.L. Hughley: Contrarian,/title/tt8426270/, D.L. Hughley: Contrarian (2018) (TV Special) 
"7.2 based on 1,401 user ratings",Demetri Martin: The Overthinker,/title/tt7725144/, Demetri Martin: The Overthinker (2018) (TV Special) 
7.0 based on 422 user ratings,Katt Williams: Live,/title/tt0810410/, Katt Williams Live (2006) (Video) 
6.8 based on 635 user ratings,Ari Shaffir: Double Negative,/title/tt6254796/, Ari Shaffir: Double Negative (2016) (TV Special) 
Not Found,Tig,/name/nm0449299/," Tig Notaro (Actress, One Mississippi (2015))"
"7.4 based on 3,418 user ratings",Jim Jefferies: This Is Me Now,/title/tt8617844/, Jim Jefferies: This Is Me Now (2018) (TV Special) 
"6.8 based on 8,415 user ratings",Kevin Hart: Let Me Explain,/title/tt2609912/, Kevin Hart: Let Me Explain (2013) 
6.8 based on 211 user ratings,D.L. Hughley: Clear,/title/tt3589494/, D.L. Hughley: Clear (2014) (TV Special) 
"7.8 based on 2,077 user ratings",Tom Segura: Completely Normal,/title/tt3500822/, Tom Segura: Completely Normal (2014) (TV Special) 
"6.3 based on 1,739 user ratings",Chris Tucker Live,/title/tt4835636/, Chris Tucker Live (2015) (TV Special) 
"6.6 based on 1,361 user ratings",Katherine Ryan: Glitter Room,/title/tt10438648/, Katherine Ryan: Glitter Room (2019) (TV Special) 
"8.5 based on 6,919 user ratings",Bo Burnham: what.,/title/tt3210258/, Bo Burnham: what. (2013) (TV Special) 
"7.8 based on 4,763 user ratings",Jim Jefferies: Freedumb,/title/tt5849950/, Jim Jefferies: Freedumb (2016) (TV Special) 
"7.6 based on 2,813 user ratings",Tom Segura: Mostly Stories,/title/tt4970632/, Tom Segura: Mostly Stories (2016) (TV Special) 
"7.3 based on 5,942 user ratings",Bill Burr: Walk Your Way Out,/title/tt6184894/, Bill Burr: Walk Your Way Out (2017) (TV Special) 
"7.9 based on 5,237 user ratings",Jerry Seinfeld: I'm Telling You for the Last Time,/title/tt0500140/, Jerry Seinfeld: 'I'm Telling You for the Last Time' (1998) (TV Special) 
"6.7 based on 1,154 user ratings",Jen Kirkman: Just Keep Livin’?,/title/tt6386352/, Jen Kirkman: Just Keep Livin? (2017) (TV Special) 
6.3 based on 758 user ratings,Cristela Alonzo: Lower Classy,/title/tt6550456/, Cristela Alonzo: Lower Classy (2017) (TV Special) 
